name,time,application,num_replicas,batch_size,duration,num_task
inference-imagenet-111,201,infer-imagenet-4,1,1,14.0,2465
inference-deepspeech2-112,205,infer-deepspeech2-5,1,1,20.0,581
inference-deepspeech2-113,209,infer-deepspeech2-3,1,1,28.0,381
inference-bert-114,210,infer-bert-2,1,1,8.0,1721
inference-deepspeech2-115,212,infer-deepspeech2-5,1,1,19.0,294
inference-yolov3-116,212,infer-yolov3-2,1,1,9.0,3954
inference-yolov3-117,213,infer-yolov3-4,1,1,23.0,4639
inference-cifar10-118,215,infer-cifar10-4,1,1,19.0,7028
inference-deepspeech2-119,216,infer-deepspeech2-3,1,1,21.0,747
inference-deepspeech2-120,217,infer-deepspeech2-3,1,1,9.0,159
inference-ncf-121,218,infer-ncf-4,1,1,4.0,2119
inference-ncf-122,220,infer-ncf-4,1,1,17.0,2575
inference-yolov3-123,223,infer-yolov3-3,1,1,1.0,4329
inference-imagenet-124,224,infer-imagenet-4,1,1,14.0,8954
inference-cifar10-125,226,infer-cifar10-3,1,1,14.0,7761
inference-imagenet-126,227,infer-imagenet-1,1,1,12.0,2384
inference-deepspeech2-127,228,infer-deepspeech2-3,1,1,27.0,646
inference-imagenet-128,228,infer-imagenet-2,1,1,27.0,454
inference-yolov3-129,229,infer-yolov3-1,1,1,22.0,1865
inference-yolov3-131,231,infer-yolov3-3,1,1,13.0,1716
inference-ncf-132,231,infer-ncf-1,1,1,29.0,2222
inference-deepspeech2-130,231,infer-deepspeech2-1,1,1,27.0,851
inference-ncf-133,232,infer-ncf-1,1,1,11.0,180
inference-yolov3-134,234,infer-yolov3-1,1,1,27.0,4165
inference-yolov3-135,236,infer-yolov3-4,1,1,15.0,1003
inference-ncf-136,238,infer-ncf-1,1,1,23.0,2357
inference-deepspeech2-137,238,infer-deepspeech2-1,1,1,6.0,297
inference-imagenet-139,239,infer-imagenet-3,1,1,21.0,8257
inference-bert-138,239,infer-bert-5,1,1,15.0,3912
inference-deepspeech2-140,240,infer-deepspeech2-1,1,1,7.0,784
inference-ncf-141,249,infer-ncf-4,1,1,12.0,4826
inference-bert-142,250,infer-bert-1,1,1,6.0,4315
inference-deepspeech2-143,252,infer-deepspeech2-2,1,1,25.0,176
inference-ncf-144,253,infer-ncf-2,1,1,13.0,4023
inference-bert-145,255,infer-bert-2,1,1,18.0,2609
inference-deepspeech2-146,257,infer-deepspeech2-1,1,1,9.0,405
inference-deepspeech2-147,259,infer-deepspeech2-1,1,1,29.0,839
inference-yolov3-148,262,infer-yolov3-3,1,1,11.0,1217
deepspeech2-3,262,deepspeech2,12,640,4.0,-1
inference-cifar10-149,267,infer-cifar10-5,1,1,5.0,4754
inference-bert-150,269,infer-bert-3,1,1,3.0,207
inference-ncf-151,273,infer-ncf-5,1,1,14.0,4160
inference-deepspeech2-152,275,infer-deepspeech2-3,1,1,25.0,784
inference-deepspeech2-153,276,infer-deepspeech2-4,1,1,17.0,977
inference-deepspeech2-154,277,infer-deepspeech2-2,1,1,26.0,883
inference-imagenet-155,278,infer-imagenet-3,1,1,20.0,387
inference-bert-156,279,infer-bert-5,1,1,14.0,1514
inference-bert-157,280,infer-bert-4,1,1,10.0,547
inference-deepspeech2-158,285,infer-deepspeech2-1,1,1,17.0,254
inference-cifar10-159,285,infer-cifar10-3,1,1,15.0,2843
inference-imagenet-160,287,infer-imagenet-2,1,1,17.0,6571
inference-cifar10-161,290,infer-cifar10-2,1,1,16.0,4231
inference-ncf-162,291,infer-ncf-3,1,1,9.0,3890
inference-imagenet-163,292,infer-imagenet-1,1,1,22.0,8257
inference-bert-165,293,infer-bert-5,1,1,18.0,872
inference-ncf-164,293,infer-ncf-2,1,1,16.0,1358
inference-ncf-166,297,infer-ncf-3,1,1,16.0,1068
inference-imagenet-167,302,infer-imagenet-2,1,1,15.0,9125
inference-cifar10-168,302,infer-cifar10-5,1,1,17.0,3521
inference-bert-169,302,infer-bert-1,1,1,2.0,3350
inference-deepspeech2-170,305,infer-deepspeech2-4,1,1,22.0,13
inference-imagenet-171,305,infer-imagenet-4,1,1,16.0,4503
inference-deepspeech2-173,309,infer-deepspeech2-4,1,1,16.0,487
inference-yolov3-172,309,infer-yolov3-5,1,1,7.0,1902
inference-imagenet-175,311,infer-imagenet-5,1,1,21.0,4488
inference-ncf-174,311,infer-ncf-3,1,1,12.0,1618
inference-cifar10-176,312,infer-cifar10-4,1,1,10.0,895
inference-imagenet-177,313,infer-imagenet-3,1,1,18.0,876
inference-cifar10-178,316,infer-cifar10-4,1,1,16.0,7962
inference-imagenet-179,322,infer-imagenet-3,1,1,26.0,4866
inference-imagenet-180,323,infer-imagenet-1,1,1,25.0,2341
inference-cifar10-181,323,infer-cifar10-2,1,1,15.0,9295
inference-yolov3-182,326,infer-yolov3-1,1,1,1.0,3374
inference-ncf-184,327,infer-ncf-4,1,1,12.0,2953
inference-deepspeech2-183,327,infer-deepspeech2-5,1,1,5.0,318
inference-imagenet-185,329,infer-imagenet-5,1,1,5.0,5362
inference-imagenet-186,332,infer-imagenet-2,1,1,24.0,1935
inference-yolov3-187,334,infer-yolov3-2,1,1,9.0,4276
inference-bert-188,335,infer-bert-1,1,1,6.0,4110
inference-deepspeech2-189,335,infer-deepspeech2-2,1,1,28.0,686
inference-bert-190,335,infer-bert-4,1,1,1.0,1381
inference-bert-191,337,infer-bert-4,1,1,6.0,1317
inference-deepspeech2-192,338,infer-deepspeech2-2,1,1,3.0,294
inference-ncf-193,340,infer-ncf-5,1,1,8.0,801
inference-yolov3-194,343,infer-yolov3-3,1,1,22.0,3204
inference-ncf-195,345,infer-ncf-5,1,1,17.0,2016
inference-deepspeech2-196,346,infer-deepspeech2-5,1,1,12.0,971
inference-ncf-197,349,infer-ncf-1,1,1,1.0,1420
inference-ncf-198,353,infer-ncf-5,1,1,21.0,1395
inference-yolov3-199,353,infer-yolov3-2,1,1,25.0,1626
inference-cifar10-200,354,infer-cifar10-4,1,1,28.0,259
inference-bert-201,355,infer-bert-1,1,1,24.0,1463
inference-bert-202,356,infer-bert-4,1,1,20.0,3717
cifar10-4,356,cifar10,16,4096,4.0,-1
inference-cifar10-203,359,infer-cifar10-4,1,1,3.0,4022
inference-cifar10-204,364,infer-cifar10-2,1,1,18.0,2470
inference-imagenet-205,365,infer-imagenet-3,1,1,26.0,5874
inference-bert-206,366,infer-bert-3,1,1,2.0,1035
inference-ncf-207,368,infer-ncf-5,1,1,23.0,4564
inference-yolov3-208,368,infer-yolov3-1,1,1,25.0,2063
inference-yolov3-209,368,infer-yolov3-2,1,1,26.0,4736
inference-deepspeech2-210,369,infer-deepspeech2-1,1,1,11.0,585
inference-yolov3-211,371,infer-yolov3-2,1,1,28.0,2063
inference-imagenet-212,372,infer-imagenet-5,1,1,16.0,4171
inference-cifar10-213,379,infer-cifar10-4,1,1,11.0,8956
inference-ncf-214,380,infer-ncf-1,1,1,5.0,1228
inference-deepspeech2-215,381,infer-deepspeech2-3,1,1,7.0,686
inference-ncf-216,381,infer-ncf-3,1,1,29.0,2105
inference-deepspeech2-217,384,infer-deepspeech2-4,1,1,9.0,851
inference-bert-218,385,infer-bert-2,1,1,3.0,1997
inference-yolov3-219,385,infer-yolov3-2,1,1,7.0,4639
inference-ncf-220,386,infer-ncf-1,1,1,25.0,3873
inference-imagenet-221,392,infer-imagenet-2,1,1,9.0,8769
inference-ncf-222,397,infer-ncf-4,1,1,27.0,2091
inference-imagenet-226,398,infer-imagenet-4,1,1,13.0,9342
inference-cifar10-225,398,infer-cifar10-3,1,1,13.0,9122
inference-yolov3-223,398,infer-yolov3-3,1,1,6.0,3867
inference-deepspeech2-224,398,infer-deepspeech2-5,1,1,18.0,402
inference-bert-227,399,infer-bert-4,1,1,2.0,4315
inference-imagenet-228,399,infer-imagenet-1,1,1,27.0,9023
inference-deepspeech2-229,399,infer-deepspeech2-4,1,1,17.0,159
inference-ncf-230,400,infer-ncf-1,1,1,14.0,1922
inference-imagenet-231,401,infer-imagenet-4,1,1,10.0,1680
inference-bert-232,402,infer-bert-4,1,1,10.0,742
inference-ncf-233,403,infer-ncf-5,1,1,25.0,1558
inference-deepspeech2-234,405,infer-deepspeech2-3,1,1,2.0,381
inference-yolov3-235,405,infer-yolov3-2,1,1,17.0,1981
inference-imagenet-236,409,infer-imagenet-1,1,1,14.0,3881
inference-bert-237,414,infer-bert-4,1,1,8.0,1080
inference-cifar10-238,415,infer-cifar10-5,1,1,21.0,526
inference-yolov3-239,416,infer-yolov3-3,1,1,20.0,979
inference-ncf-240,417,infer-ncf-3,1,1,19.0,2849
inference-ncf-241,419,infer-ncf-2,1,1,17.0,1400
inference-yolov3-242,420,infer-yolov3-1,1,1,15.0,1003
inference-bert-243,424,infer-bert-2,1,1,15.0,4918
inference-cifar10-244,427,infer-cifar10-4,1,1,19.0,9796
inference-imagenet-245,430,infer-imagenet-5,1,1,7.0,3197
inference-imagenet-246,431,infer-imagenet-3,1,1,10.0,1104
inference-imagenet-247,433,infer-imagenet-3,1,1,16.0,6781
inference-cifar10-249,440,infer-cifar10-2,1,1,18.0,178
inference-deepspeech2-248,440,infer-deepspeech2-1,1,1,22.0,75
inference-yolov3-251,447,infer-yolov3-5,1,1,11.0,576
inference-deepspeech2-250,447,infer-deepspeech2-2,1,1,12.0,701
inference-cifar10-252,449,infer-cifar10-4,1,1,5.0,4951
inference-cifar10-253,449,infer-cifar10-5,1,1,8.0,5285
inference-deepspeech2-254,450,infer-deepspeech2-5,1,1,16.0,739
inference-ncf-255,452,infer-ncf-2,1,1,10.0,4381
inference-bert-256,453,infer-bert-3,1,1,3.0,547
inference-imagenet-257,456,infer-imagenet-2,1,1,12.0,1616
inference-deepspeech2-258,456,infer-deepspeech2-4,1,1,10.0,568
inference-yolov3-259,460,infer-yolov3-1,1,1,18.0,72
inference-ncf-260,461,infer-ncf-5,1,1,16.0,4023
inference-bert-261,462,infer-bert-1,1,1,17.0,2195
inference-yolov3-262,463,infer-yolov3-2,1,1,3.0,199
inference-ncf-263,464,infer-ncf-5,1,1,19.0,758
inference-cifar10-264,467,infer-cifar10-2,1,1,22.0,4718
inference-ncf-265,468,infer-ncf-4,1,1,28.0,3890
inference-cifar10-266,470,infer-cifar10-4,1,1,20.0,9295
inference-ncf-267,478,infer-ncf-5,1,1,27.0,2985
inference-yolov3-268,480,infer-yolov3-3,1,1,19.0,3978
inference-ncf-269,482,infer-ncf-5,1,1,23.0,640
inference-deepspeech2-270,484,infer-deepspeech2-2,1,1,16.0,256
inference-deepspeech2-271,485,infer-deepspeech2-4,1,1,11.0,726
inference-yolov3-272,486,infer-yolov3-3,1,1,11.0,1902
inference-cifar10-273,487,infer-cifar10-2,1,1,19.0,7677
inference-bert-274,489,infer-bert-2,1,1,8.0,4939
inference-bert-275,492,infer-bert-1,1,1,20.0,4880
inference-cifar10-276,495,infer-cifar10-2,1,1,26.0,6670
inference-imagenet-277,495,infer-imagenet-1,1,1,7.0,8679
inference-deepspeech2-278,498,infer-deepspeech2-4,1,1,2.0,883
inference-imagenet-279,500,infer-imagenet-5,1,1,10.0,3696
inference-imagenet-280,502,infer-imagenet-4,1,1,12.0,4293
inference-yolov3-281,503,infer-yolov3-2,1,1,17.0,3593
inference-deepspeech2-282,504,infer-deepspeech2-3,1,1,13.0,227
inference-ncf-283,512,infer-ncf-4,1,1,23.0,157
inference-yolov3-284,518,infer-yolov3-4,1,1,18.0,2447
inference-yolov3-285,518,infer-yolov3-4,1,1,29.0,3286
inference-cifar10-286,520,infer-cifar10-2,1,1,20.0,259
inference-ncf-287,521,infer-ncf-2,1,1,1.0,418
inference-ncf-288,525,infer-ncf-3,1,1,17.0,258
inference-cifar10-289,529,infer-cifar10-1,1,1,22.0,2606
inference-imagenet-290,530,infer-imagenet-1,1,1,22.0,8462
inference-ncf-291,531,infer-ncf-5,1,1,6.0,4655
inference-imagenet-292,534,infer-imagenet-2,1,1,28.0,1493
inference-imagenet-293,534,infer-imagenet-2,1,1,24.0,3162
inference-ncf-295,535,infer-ncf-1,1,1,2.0,639
inference-ncf-294,535,infer-ncf-5,1,1,8.0,3947
inference-bert-296,536,infer-bert-3,1,1,14.0,1650
inference-cifar10-297,538,infer-cifar10-3,1,1,9.0,7677
inference-imagenet-298,539,infer-imagenet-2,1,1,14.0,9279
inference-ncf-299,541,infer-ncf-1,1,1,11.0,539
inference-deepspeech2-300,542,infer-deepspeech2-2,1,1,5.0,244
inference-ncf-301,543,infer-ncf-4,1,1,8.0,4430
inference-ncf-302,544,infer-ncf-4,1,1,22.0,2575
inference-cifar10-303,546,infer-cifar10-5,1,1,22.0,1011
inference-ncf-304,548,infer-ncf-1,1,1,19.0,4533
inference-bert-305,548,infer-bert-3,1,1,3.0,4468
inference-yolov3-306,550,infer-yolov3-1,1,1,12.0,769
inference-bert-307,551,infer-bert-3,1,1,14.0,1216
inference-imagenet-308,555,infer-imagenet-3,1,1,24.0,1104
inference-yolov3-309,555,infer-yolov3-2,1,1,10.0,3374
inference-ncf-310,556,infer-ncf-4,1,1,11.0,2141
inference-cifar10-311,556,infer-cifar10-1,1,1,1.0,5285
inference-cifar10-312,557,infer-cifar10-2,1,1,13.0,9295
inference-bert-313,560,infer-bert-1,1,1,7.0,2235
inference-bert-314,561,infer-bert-3,1,1,10.0,547
inference-ncf-315,561,infer-ncf-4,1,1,3.0,2668
inference-yolov3-316,561,infer-yolov3-1,1,1,25.0,993
inference-yolov3-317,563,infer-yolov3-2,1,1,4.0,2630
inference-bert-318,564,infer-bert-3,1,1,2.0,547
inference-imagenet-319,564,infer-imagenet-5,1,1,23.0,4488
inference-imagenet-320,565,infer-imagenet-3,1,1,18.0,9780
inference-deepspeech2-321,565,infer-deepspeech2-1,1,1,28.0,113
inference-cifar10-322,565,infer-cifar10-1,1,1,17.0,8438
inference-yolov3-323,567,infer-yolov3-3,1,1,28.0,1847
inference-cifar10-324,568,infer-cifar10-4,1,1,5.0,3253
inference-bert-325,568,infer-bert-4,1,1,17.0,850
inference-imagenet-326,570,infer-imagenet-3,1,1,4.0,5874
inference-imagenet-327,572,infer-imagenet-4,1,1,10.0,9903
inference-imagenet-328,576,infer-imagenet-3,1,1,14.0,2465
inference-bert-329,579,infer-bert-1,1,1,2.0,1924
inference-bert-330,580,infer-bert-2,1,1,9.0,4830
inference-cifar10-332,583,infer-cifar10-3,1,1,17.0,1772
inference-bert-331,583,infer-bert-1,1,1,3.0,477
inference-imagenet-333,586,infer-imagenet-1,1,1,3.0,9780
inference-yolov3-334,587,infer-yolov3-4,1,1,15.0,467
inference-deepspeech2-335,587,infer-deepspeech2-3,1,1,27.0,630
inference-cifar10-336,588,infer-cifar10-1,1,1,10.0,2472
inference-deepspeech2-337,591,infer-deepspeech2-4,1,1,12.0,431
inference-ncf-338,592,infer-ncf-5,1,1,14.0,831
inference-imagenet-339,596,infer-imagenet-4,1,1,8.0,3897
inference-deepspeech2-340,596,infer-deepspeech2-2,1,1,23.0,883
inference-yolov3-341,599,infer-yolov3-4,1,1,25.0,3445
inference-bert-342,604,infer-bert-2,1,1,4.0,181
inference-deepspeech2-343,605,infer-deepspeech2-1,1,1,5.0,424
inference-cifar10-344,605,infer-cifar10-4,1,1,27.0,722
inference-bert-345,609,infer-bert-2,1,1,24.0,1023
inference-deepspeech2-346,610,infer-deepspeech2-2,1,1,15.0,630
inference-deepspeech2-347,613,infer-deepspeech2-4,1,1,13.0,487
inference-yolov3-348,614,infer-yolov3-2,1,1,10.0,1648
inference-imagenet-349,615,infer-imagenet-2,1,1,19.0,3162
inference-bert-350,619,infer-bert-4,1,1,10.0,272
inference-deepspeech2-351,620,infer-deepspeech2-3,1,1,19.0,333
inference-deepspeech2-352,625,infer-deepspeech2-1,1,1,15.0,222
inference-deepspeech2-353,631,infer-deepspeech2-1,1,1,23.0,116
inference-bert-354,632,infer-bert-4,1,1,7.0,2235
inference-yolov3-355,632,infer-yolov3-3,1,1,16.0,1716
inference-yolov3-356,633,infer-yolov3-3,1,1,23.0,1489
inference-ncf-357,635,infer-ncf-5,1,1,24.0,258
inference-bert-358,639,infer-bert-3,1,1,24.0,4927
inference-bert-359,642,infer-bert-3,1,1,23.0,602
inference-bert-360,642,infer-bert-2,1,1,16.0,1739
inference-yolov3-361,643,infer-yolov3-3,1,1,25.0,2944
inference-imagenet-362,645,infer-imagenet-4,1,1,16.0,8359
inference-ncf-363,646,infer-ncf-4,1,1,23.0,2357
inference-yolov3-364,649,infer-yolov3-2,1,1,7.0,4594
inference-deepspeech2-365,652,infer-deepspeech2-1,1,1,26.0,514
inference-yolov3-366,656,infer-yolov3-2,1,1,27.0,72
inference-yolov3-367,656,infer-yolov3-4,1,1,15.0,2074
inference-bert-368,656,infer-bert-3,1,1,20.0,4058
inference-bert-369,656,infer-bert-3,1,1,17.0,303
inference-cifar10-370,658,infer-cifar10-2,1,1,1.0,3048
inference-imagenet-371,659,infer-imagenet-4,1,1,8.0,8359
inference-deepspeech2-372,660,infer-deepspeech2-4,1,1,8.0,767
inference-imagenet-373,661,infer-imagenet-2,1,1,7.0,8956
inference-bert-374,662,infer-bert-4,1,1,8.0,272
inference-imagenet-375,663,infer-imagenet-4,1,1,23.0,441
inference-ncf-377,664,infer-ncf-1,1,1,2.0,1042
inference-imagenet-376,664,infer-imagenet-3,1,1,5.0,6923
inference-bert-378,665,infer-bert-5,1,1,25.0,4827
inference-ncf-379,665,infer-ncf-4,1,1,28.0,2000
inference-ncf-380,665,infer-ncf-2,1,1,26.0,1068
inference-ncf-381,671,infer-ncf-1,1,1,11.0,3342
inference-bert-382,673,infer-bert-3,1,1,21.0,2818
inference-bert-383,675,infer-bert-4,1,1,11.0,3821
inference-yolov3-384,678,infer-yolov3-4,1,1,11.0,3978
inference-ncf-385,679,infer-ncf-3,1,1,16.0,2420
inference-ncf-386,679,infer-ncf-1,1,1,11.0,1036
inference-imagenet-387,679,infer-imagenet-4,1,1,25.0,8769
inference-imagenet-388,682,infer-imagenet-1,1,1,13.0,5926
inference-yolov3-389,683,infer-yolov3-2,1,1,13.0,403
inference-ncf-391,684,infer-ncf-4,1,1,5.0,801
inference-yolov3-390,684,infer-yolov3-2,1,1,3.0,3868
inference-imagenet-392,686,infer-imagenet-2,1,1,26.0,7792
inference-imagenet-393,696,infer-imagenet-3,1,1,7.0,2384
inference-ncf-394,697,infer-ncf-3,1,1,28.0,404
inference-deepspeech2-395,699,infer-deepspeech2-3,1,1,24.0,373
inference-imagenet-396,699,infer-imagenet-2,1,1,14.0,5362
inference-yolov3-397,699,infer-yolov3-5,1,1,5.0,4368
inference-ncf-398,703,infer-ncf-3,1,1,1.0,2849
inference-bert-399,705,infer-bert-2,1,1,22.0,664
inference-yolov3-400,714,infer-yolov3-4,1,1,13.0,979
inference-yolov3-401,715,infer-yolov3-4,1,1,2.0,860
inference-imagenet-402,718,infer-imagenet-2,1,1,16.0,4080
inference-bert-403,719,infer-bert-5,1,1,20.0,588
inference-deepspeech2-404,721,infer-deepspeech2-5,1,1,29.0,183
inference-bert-406,722,infer-bert-4,1,1,29.0,2221
inference-deepspeech2-405,722,infer-deepspeech2-4,1,1,24.0,487
inference-ncf-407,723,infer-ncf-1,1,1,5.0,904
inference-imagenet-408,723,infer-imagenet-1,1,1,26.0,4503
inference-yolov3-409,724,infer-yolov3-1,1,1,11.0,2174
inference-ncf-410,725,infer-ncf-1,1,1,20.0,4355
inference-bert-411,732,infer-bert-2,1,1,25.0,3821
inference-bert-412,734,infer-bert-3,1,1,27.0,664
inference-deepspeech2-413,737,infer-deepspeech2-4,1,1,8.0,648
inference-deepspeech2-414,738,infer-deepspeech2-2,1,1,1.0,701
inference-ncf-415,739,infer-ncf-5,1,1,5.0,585
inference-deepspeech2-416,739,infer-deepspeech2-5,1,1,16.0,333
inference-deepspeech2-417,742,infer-deepspeech2-2,1,1,2.0,123
inference-imagenet-418,744,infer-imagenet-3,1,1,12.0,2313
inference-yolov3-419,745,infer-yolov3-3,1,1,10.0,4466
inference-bert-420,748,infer-bert-4,1,1,6.0,4939
inference-bert-421,749,infer-bert-1,1,1,9.0,1112
inference-ncf-422,751,infer-ncf-3,1,1,25.0,1706
inference-ncf-423,752,infer-ncf-5,1,1,18.0,2000
inference-bert-424,753,infer-bert-3,1,1,29.0,872
inference-yolov3-425,753,infer-yolov3-2,1,1,22.0,162
inference-deepspeech2-426,760,infer-deepspeech2-3,1,1,20.0,903
inference-ncf-427,761,infer-ncf-5,1,1,17.0,1934
inference-bert-428,763,infer-bert-2,1,1,18.0,207
